Model,Best_Params,CV_F1_Mean,Test_Accuracy,Test_Precision,Test_Recall,Test_F1
Stacking,{'clf__final_estimator__C': 10.0},0.9992335774400567,0.9994404029099049,0.9990574929311969,0.9997642065550578,0.9994107248084856
LinearSVC,{'clf__C': 10.0},0.9990865842863934,0.9993284834918859,0.999057270798963,0.9995284131101155,0.9992927864214993
RandomForest,"{'clf__max_depth': None, 'clf__n_estimators': 100}",0.9989395562981425,0.9987688864017907,0.9981158737635422,0.9992926196651734,0.9987039000824791
LogisticRegression,{'clf__C': 10.0},0.998084573225273,0.9982092893116956,0.9981136524404621,0.9981136524404621,0.9981136524404621
MultinomialNB,{'clf__alpha': 0.1},0.9656547474401321,0.9674314493564633,0.9660217083529967,0.9653383635934921,0.9656799150843259
